City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-17.82,71,75,4.12,US,1674364933
1,portland,45.5234,-122.6762,7.07,84,100,7.2,US,1674364823
2,arkadak,51.9326,43.4978,-6.63,84,100,4.36,RU,1674365321
3,puerto ayora,-0.7393,-90.3518,23.64,97,41,2.04,EC,1674364806
4,ixtapa,20.7,-105.2,21.57,83,40,1.03,MX,1674365321
5,pilar,-9.5972,-35.9567,21.96,89,26,2.04,BR,1674365132
6,neuquen,-38.9516,-68.0591,23.94,31,0,5.14,AR,1674365197
7,bengkulu,-3.8004,102.2655,28.1,71,74,3.13,ID,1674364817
8,cape town,-33.9258,18.4232,20.06,91,75,1.79,ZA,1674364629
9,ushuaia,-54.8,-68.3,5.81,75,20,3.6,AR,1674364589
10,jamestown,42.097,-79.2353,-0.23,65,100,3.09,US,1674364694
11,najran,17.4924,44.1277,12.36,31,1,0.86,SA,1674365111
12,severo-kurilsk,50.6789,156.125,-5.93,88,100,4.9,RU,1674364792
13,tiznit,29.5833,-9.5,9.3,66,0,0.15,MA,1674365323
14,saint george,37.1041,-113.5841,2.19,60,0,3.09,US,1674364643
15,comodoro rivadavia,-45.8667,-67.5,20.92,46,0,4.12,AR,1674364912
16,port alfred,-33.5906,26.891,21.77,96,100,2.68,ZA,1674364787
17,nikolskoye,59.7035,30.7861,-3.06,96,84,2.66,RU,1674364809
18,albany,42.6001,-73.9662,-0.46,81,92,1.04,US,1674364662
19,lebu,-37.6167,-73.65,14.62,87,0,5.44,CL,1674364823
20,mataura,-46.1927,168.8643,14.15,89,84,3.24,NZ,1674364777
21,bandarbeyla,9.4942,50.8122,24.39,66,53,8.59,SO,1674364849
22,port-gentil,-0.7193,8.7815,26.93,77,100,3.48,GA,1674364898
23,cidreira,-30.1811,-50.2056,22.24,89,53,2.11,BR,1674364646
24,kapaa,22.0752,-159.319,23.99,88,100,1.54,US,1674364796
25,cherskiy,68.75,161.3,-44.46,99,61,1.36,RU,1674364840
26,taoudenni,22.6783,-3.9836,13.93,13,0,4.17,ML,1674365324
27,airai,-8.9266,125.4092,22.34,67,76,1.25,TL,1674364787
28,bogorodskoye,56.55,37.8833,-10.04,97,65,2.4,RU,1674365201
29,poso,-1.3959,120.7524,30.32,61,78,2.64,ID,1674365325
30,katobu,-4.9408,122.5276,30.04,64,97,2.14,ID,1674365325
31,matara,5.9485,80.5353,23.35,89,100,4.09,LK,1674365325
